Scenario,Waiting Time Improvement (%),Duration Improvement (%),Avg Speed (m/s)
Actuated,-20.71430580810698,-11.523275448775568,9.049730802415876
Max Pressure,11.185213399358886,5.638066821479518,9.086906263135772
RL,-18.401292314914887,-9.79559574990238,9.083915693245302
