Scenario,Dir A Wait Improvement (%),Dir B Wait Improvement (%),Dir A Speed Improvement (%),Dir B Speed Improvement (%)
Actuated,-30.06024096385542,-659.957627118644,-0.965145119881649,-0.5960617349654294
Max Pressure,53.0722891566265,-300.2118644067797,-0.9625342674383262,-0.4911743835373492
RL,91.98795180722892,69.91525423728814,-0.23472075397324843,-0.6368869219349773
