Scenario,Total Vehicles,Dir A Speed (km/h),Dir B Speed (km/h),Dir A Total Wait (s),Dir B Total Wait (s),Dir A Bus Avg Wait (s),Dir B Bus Avg Wait (s),Dir A Avg Duration (s),Dir B Avg Duration (s),Dir A Bus Avg Duration (s),Dir B Bus Avg Duration (s)
Baseline,23,49.245000000000005,49.195636363636375,1660.0,472.0,138.33333333333334,42.90909090909091,238.75,138.1818181818182,238.75,138.1818181818182
Actuated,17,48.76971428571429,48.9024,2159.0,3587.0,308.42857142857144,358.7,434.85714285714283,480.3,434.85714285714283,480.3
Max Pressure,24,48.771,48.95400000000001,779.0,1889.0,64.91666666666667,157.41666666666666,174.08333333333334,286.5833333333333,174.08333333333334,286.5833333333333
RL,36,49.12941176470588,48.88231578947369,133.0,142.0,7.823529411764706,7.473684210526316,106.05882352941177,103.89473684210526,106.05882352941177,103.89473684210526
