Scenario,Num Vehicles,Avg Waiting Time (s),Total Waiting Time (s),Avg Time Loss (s),Avg Duration (s),Avg Arrival Speed (m/s),Max Waiting Time (s)
Baseline,7315,209.8365003417635,1534954.0,273.0838263841422,387.0991114149009,9.144226930963773,2537.0
Actuated,5795,253.30267471958584,1467889.0,315.74062640207075,431.70560828300256,9.049730802415876,2818.0
Max Pressure,7137,186.3658399887908,1330093.0,250.65374807342022,365.27420484797534,9.086906263135772,2465.0
RL,5907,248.44912815303877,1467589.0,308.4148298628745,425.0177755205688,9.083915693245302,2449.0
